dateissue,Value
13891004,18585.80
13891005,18723.10
13891006,18689.00
13891007,18771.40
13891008,18855.20
13891011,18849.10
13891012,18898.10
13891013,19021.00
13891014,19200.40
13891015,19361.50
13891018,19451.50
13891019,19699.90
13891020,19690.90
13891021,19778.60
13891022,19759.10
13891025,19705.30
13891026,19830.60
13891027,19904.70
13891028,19937.90
13891029,20206.60
13891102,20352.70
13891103,20416.00
13891104,20462.60
13891106,20684.80
13891109,20905.90
13891110,20877.60
13891111,20997.10
13891112,21349.40
13891116,21810.70
13891117,21840.00
13891118,21944.40
13891119,21867.40
13891120,21929.00
13891123,22000.50
13891124,22136.50
13891125,22260.40
13891126,22270.40
13891127,22188.30
13891130,22090.30
13891201,21762.20
13891203,21739.40
13891204,21749.50
13891207,21867.90
13891208,21900.50
13891209,21663.30
13891210,21472.90
13891211,21694.00
13891214,21843.20
13891215,21929.30
13891216,21891.80
13891217,22033.20
13891218,22062.60
13891221,21895.20
13891222,22008.80
13891223,22236.90
13891224,22455.70
13891225,22803.80
13891228,23294.90
13900106,23756.30
13900107,24199.80
13900108,24287.80
13900109,24486.60
13900110,24486.00
13900114,24543.60
13900115,25023.30
13900116,25550.40
13900117,25885.10
13900120,26222.70
13900121,26002.60
13900122,26145.20
13900123,26412.70
13900124,26541.90
13900127,26675.90
13900128,26446.60
13900129,26429.20
13900130,26215.40
13900131,26481.50
13900203,26610.10
13900204,26539.70
13900205,26261.50
13900206,26273.60
13900207,25781.80
13900210,25321.70
13900211,24685.30
13900212,25037.70
13900213,25211.20
13900214,25520.20
13900218,25366.60
13900219,25752.70
13900220,26041.70
13900221,26002.80
13900224,26033.60
13900225,25908.50
13900226,25759.70
13900227,25773.40
13900228,25940.80
13900231,26155.60
13900301,26055.50
13900302,26059.80
13900303,25861.90
13900304,25290.70
13900307,25043.40
13900308,24600.60
13900309,24865.30
13900310,25120.90
13900316,25291.80
13900317,25123.10
13900318,25286.50
13900321,25245.10
13900322,25121.70
13900323,25237.50
13900324,25043.30
13900325,24854.80
13900328,25187.40
13900329,25214.10
13900330,25120.90
13900331,25181.60
13900401,25126.10
13900404,25023.50
13900405,24674.90
13900406,24148.60
13900407,24180.50
13900408,24503.50
13900411,24742.20
13900412,24742.70
13900413,24698.30
13900414,24816.60
13900415,24801.10
13900418,24716.90
13900419,24541.10
13900420,24503.80
13900421,24387.10
13900422,24286.70
13900425,24348.90
13900427,24460.70
13900428,24494.60
13900429,24602.00
13900501,24809.60
13900502,25181.70
13900503,25325.40
13900504,25434.60
13900505,25471.80
13900508,25297.80
13900509,25110.80
13900510,25270.00
13900511,25284.50
13900512,25316.30
13900515,25008.10
13900516,24923.60
13900517,24970.80
13900518,24596.70
13900519,24875.80
13900522,24997.00
13900523,25092.80
13900524,25059.30
13900525,25090.50
13900526,25237.60
13900529,25231.60
13900530,25217.00
13900601,25389.30
13900602,25475.70
13900605,25555.60
13900606,25475.10
13900607,25621.70
13900608,25822.00
13900612,26083.40
13900613,26254.60
13900614,26360.80
13900615,26714.70
13900616,26930.20
13900619,27098.40
13900620,27099.90
13900621,27058.90
13900622,26933.10
13900623,26836.30
13900626,26855.00
13900627,26885.00
13900628,26866.90
13900629,26847.40
13900630,26962.20
13900703,26764.80
13900704,26571.90
13900705,26692.90
13900706,26792.70
13900709,26708.20
13900710,26672.70
13900711,26663.60
13900712,26756.30
13900713,26863.50
13900716,26912.80
13900717,26868.80
13900718,26819.40
13900719,26903.00
13900720,26844.20
13900723,26668.30
13900724,26291.20
13900725,26159.40
13900726,26158.80
13900727,26207.70
13900730,26150.80
13900801,26049.60
13900802,25875.00
13900803,25924.80
13900804,25915.40
13900807,25953.30
13900808,25911.30
13900809,25910.00
13900810,25924.90
13900811,26001.50
13900814,25874.20
13900815,25589.50
13900817,25328.60
13900818,25394.20
13900821,25462.70
13900822,25372.60
13900823,25366.60
13900825,25366.40
13900828,25366.70
13900829,25298.30
13900830,25207.20
13900901,24881.00
13900902,24568.20
13900905,24468.20
13900906,24056.40
13900907,23977.70
13900908,24089.20
13900909,24016.50
13900912,24116.60
13900913,24356.90
13900916,24662.60
13900919,24688.20
13900920,24546.30
13900921,24554.90
13900922,24618.10
13900923,24590.70
13900926,24528.30
13900927,24604.00
13900928,24638.20
13900929,24588.50
13900930,24494.00
13901003,24456.70
13901004,24455.10
13901005,24377.30
13901006,24327.20
13901007,24320.80
13901010,24403.10
13901011,24400.90
13901012,24323.70
13901013,24507.00
13901014,24839.10
13901017,24887.90
13901018,24854.90
13901019,25082.70
13901020,25207.40
13901021,25440.30
13901025,25755.30
13901026,25903.40
13901027,25692.80
13901028,25811.20
13901101,25772.30
13901103,25620.70
13901105,25540.50
13901108,25723.00
13901109,25931.30
13901110,25912.90
13901111,25913.80
13901112,25878.20
13901115,25907.00
13901116,25717.60
13901117,25579.80
13901118,25436.60
13901119,25371.70
13901123,25320.70
13901124,25279.80
13901125,24946.40
13901126,24829.30
13901129,24848.90
13901130,24878.30
13901201,24923.20
13901202,25035.20
13901203,25012.60
13901206,24936.10
13901207,24976.90
13901208,25098.40
13901209,25244.40
13901210,25354.50
13901213,25365.50
13901214,25417.90
13901215,25320.10
13901216,25307.90
13901217,25400.20
13901220,25457.60
13901221,25491.10
13901222,25300.00
13901223,25265.30
13901224,25481.50
13901227,25607.20
13901228,25905.60
13910105,26280.50
13910106,26502.30
13910107,26408.70
13910108,26533.00
13910109,26576.20
13910114,26484.80
13910115,26327.00
13910116,26300.30
13910119,26383.40
13910120,26491.80
13910121,26482.60
13910122,26664.10
13910123,26757.80
13910126,26896.80
13910127,27281.20
13910128,27245.60
13910129,27185.60
13910130,27259.90
13910202,27211.70
13910203,27169.30
13910204,27085.30
13910205,27129.90
13910209,27010.10
13910210,26953.80
13910211,26960.00
13910212,26969.80
13910213,26964.80
13910216,26935.70
13910217,26932.20
13910218,26886.30
13910219,26870.50
13910220,26871.90
13910223,26743.80
13910224,26658.00
13910225,26715.20
13910226,26677.30
13910227,26652.60
13910230,26652.10
13910231,26667.70
13910301,26845.80
13910302,26912.70
13910303,27091.20
13910306,26909.50
13910307,26905.00
13910308,26848.70
13910309,26803.60
13910310,26755.90
13910313,26735.40
13910316,26693.00
13910317,26635.60
13910320,26365.20
13910321,26264.80
13910322,26411.80
13910323,26440.50
13910324,26439.10
13910327,26406.70
13910328,26325.50
13910330,26291.80
13910331,26165.90
13910403,25938.10
13910404,25681.10
13910405,25558.40
13910406,25325.00
13910407,25054.60
13910410,25170.70
13910411,25227.20
13910412,25345.50
13910413,25438.00
13910414,25428.50
