dateissue,Value
13900316,32691.20
13900317,32406.80
13900318,32584.00
13900321,32506.40
13900322,32289.10
13900323,32468.50
13900324,32181.50
13900325,31900.40
13900328,32392.50
13900329,32448.20
13900330,32352.10
13900331,32495.60
13900401,32447.20
13900404,32310.00
13900405,31819.20
13900406,31058.20
13900407,31142.80
13900408,31599.40
13900411,31967.20
13900412,31974.20
13900413,31934.70
13900414,32119.00
13900415,32069.10
13900418,31896.10
13900419,31696.10
13900420,31665.70
13900421,31527.40
13900422,31369.60
13900425,31463.50
13900427,31670.30
13900428,31681.70
13900429,31839.20
13900501,32127.90
13900502,32635.60
13900503,32836.60
13900504,33014.70
13900505,33021.60
13900508,32793.10
13900509,32533.30
13900510,32799.40
13900511,32805.80
13900512,32899.30
13900515,32441.40
13900516,32302.00
13900517,32400.00
13900518,31915.60
13900519,32347.30
13900522,32548.90
13900523,32723.70
13900524,32659.70
13900525,32679.90
13900526,33001.50
13900529,33036.30
13900530,33027.40
13900601,33274.50
13900602,33393.50
13900605,33477.20
13900606,33332.90
13900607,33543.20
13900608,33822.00
13900612,34265.80
13900613,34485.30
13900614,34592.70
13900615,35160.30
13900616,35427.80
13900619,35596.10
13900620,35533.70
13900621,35423.70
13900622,35203.20
13900623,35085.40
13900626,35091.80
13900627,35127.40
13900628,35067.80
13900629,35001.50
13900630,35152.10
13900703,34853.30
13900704,34581.20
13900705,34752.90
13900706,34840.90
13900709,34678.80
13900710,34573.20
13900711,34525.90
13900712,34551.40
13900713,34597.30
13900716,34646.20
13900717,34603.80
13900718,34592.90
13900719,34633.60
13900720,34544.40
13900723,34261.00
13900724,33704.70
13900725,33470.30
13900726,33511.10
13900727,33593.90
13900730,33478.40
13900801,33347.20
13900802,33136.40
13900803,33221.30
13900804,33238.10
13900807,33341.50
13900808,33307.30
13900809,33405.90
13900810,33480.10
13900811,33590.60
13900814,33432.40
13900815,33005.30
13900817,32625.70
13900818,32742.10
13900821,32918.10
13900822,32802.20
13900823,32786.70
13900825,32811.70
13900828,32837.60
13900829,32790.90
13900830,32700.40
13900901,32312.50
13900902,31979.60
13900905,31847.60
13900906,31341.40
13900907,31202.50
13900908,31263.40
13900909,31027.50
13900912,31172.50
13900913,31521.50
13900916,31963.10
13900919,31980.90
13900920,31679.70
13900921,31703.90
13900922,31774.40
13900923,31763.40
13900926,31701.80
13900927,31787.70
13900928,31823.60
13900929,31713.90
13900930,31529.40
13901003,31558.90
13901004,31572.00
13901005,31456.20
13901006,31350.30
13901007,31344.80
13901010,31386.50
13901011,31372.20
13901012,31203.30
13901013,31467.60
13901014,32031.60
13901017,32131.20
13901018,32092.80
13901019,32352.70
13901020,32470.40
13901021,32841.30
13901025,33418.50
13901026,33532.50
13901027,33089.30
13901028,33314.20
13901101,33276.10
13901103,33003.50
13901105,32903.00
13901108,33197.90
13901109,33529.40
13901110,33358.10
13901111,33312.00
13901112,33302.00
13901115,33258.30
13901116,32959.10
13901117,32735.70
13901118,32530.30
13901119,32458.50
13901123,32378.00
13901124,32326.00
13901125,31846.00
13901126,31720.50
13901129,31710.50
13901130,31688.70
13901201,31712.30
13901202,31835.90
13901203,31850.30
13901206,31777.60
13901207,31820.40
13901208,31958.40
13901209,32177.10
13901210,32332.30
13901213,32386.50
13901214,32458.80
13901215,32307.60
13901216,32296.20
13901217,32422.10
13901220,32475.20
13901221,32523.40
13901222,32180.80
13901223,32137.50
13901224,32390.50
13901227,32554.90
13901228,32946.30
13910105,33402.80
13910106,33674.80
13910107,33572.80
13910108,33722.80
13910109,33740.60
13910114,33655.30
13910115,33423.10
13910116,33354.20
13910119,33375.40
13910120,33482.10
13910121,33510.00
13910122,33729.70
13910123,33914.30
13910126,34166.90
13910127,34719.90
13910128,34661.90
13910129,34580.40
13910130,34668.70
13910202,34597.30
13910203,34515.10
13910204,34392.10
13910205,34415.50
13910209,34237.30
13910210,34103.70
13910211,34140.00
13910212,34234.90
13910213,34302.80
13910216,34358.70
13910217,34357.10
13910218,34305.00
13910219,34289.00
13910220,34275.80
13910223,34103.00
13910224,33791.80
13910225,33819.20
13910226,33755.00
13910227,33676.00
13910230,33641.70
13910231,33616.40
13910301,33840.90
13910302,33918.10
13910303,34210.70
13910306,33950.90
13910307,33954.50
13910308,33867.10
13910309,33816.90
13910310,33769.00
13910313,33744.80
13910316,33627.00
13910317,33538.20
13910320,33172.10
13910321,33060.40
13910322,33207.50
13910323,33273.80
13910324,33273.60
13910327,33208.00
13910328,33095.70
13910330,33044.70
13910331,32869.50
13910403,32585.70
13910404,32195.10
13910405,32033.30
13910406,31714.00
13910407,31313.00
13910410,31446.50
13910411,31536.70
13910412,31687.10
13910413,31800.80
13910414,31772.00
13910417,31777.20
13910418,31583.90
13910419,31469.70
13910420,31511.10
13910421,31623.40
13910424,31659.90
13910425,31510.10
13910426,31349.90
13910427,31182.90
13910428,31212.20
13910431,31146.00
13910501,31112.00
13910502,31154.80
13910503,31268.10
13910504,31283.60
13910507,31223.20
13910508,30893.40
13910509,30606.80
13910510,30630.20
13910511,30592.60
13910514,30298.90
13910515,29957.10
13910516,29824.70
13910517,29621.00
13910518,29530.70
13910521,29691.00
13910522,29760.10
13910523,29793.60
13910524,29886.30
13910525,29921.20
13910528,29950.30
13910531,30141.20
13910601,30221.90
13910604,30359.00
13910605,30473.60
13910606,30542.80
13910612,30661.10
13910613,31080.10
13910614,31508.40
13910615,31841.30
13910618,32046.70
13910619,31772.10
13910620,31992.20
13910621,32186.00
13910625,32688.50
13910626,32634.30
13910627,32942.40
13910628,33013.40
13910629,32922.50
13910701,33375.40
13910702,33770.70
13910703,33757.80
13910704,34194.60
13910705,35082.40
13910708,35951.50
13910709,36409.30
13910710,35885.30
13910711,35728.00
13910712,36204.60
13910715,35853.50
13910716,35836.00
13910717,36030.10
13910718,36038.70
13910719,35733.20
13910722,35383.50
13910723,35546.80
13910724,36020.90
13910725,36347.80
13910726,36677.90
13910729,37219.20
13910730,37427.40
13910801,38012.10
13910802,37886.60
13910803,38007.80
13910806,38418.70
13910807,38342.70
13910808,38287.90
13910809,38313.00
13910810,38035.70
13910814,38203.50
13910815,37668.00
13910816,37943.50
13910817,38396.30
13910820,38278.00
13910821,38003.50
13910822,37898.20
13910823,38138.70
13910824,38252.40
13910827,38036.30
13910828,38006.70
13910829,37802.60
13910830,37861.50
13910901,38025.40
13910906,38427.90
13910907,38940.00
13910908,39372.40
13910911,39835.60
13910912,40315.20
13910913,40172.20
13910914,40211.60
13910915,40450.60
