dateissue,Value
13950208,13686.60
13950211,13714.90
13950212,13726.90
13950213,13742.30
13950214,13767.80
13950215,13807.20
13950218,13773.50
13950219,13721.80
13950220,13736.80
13950221,13717.10
13950222,13602.70
13950225,13646.00
13950226,13592.90
13950227,13616.50
13950228,13707.70
13950229,13740.80
13950301,13792.50
13950303,13838.40
13950304,13871.10
13950305,13887.30
13950308,13889.90
13950309,13861.40
13950310,13832.40
13950311,13765.30
13950312,13779.40
13950316,13838.80
13950317,13872.40
13950318,13858.80
13950319,13795.40
13950322,13638.40
13950323,13550.40
13950324,13576.90
13950325,13468.70
13950326,13502.10
13950329,13504.60
13950330,13413.50
13950331,13354.90
13950401,13400.80
13950402,13599.60
13950405,13588.50
13950406,13635.40
13950408,13774.70
13950409,13743.30
13950412,13743.40
13950413,13756.60
13950414,13714.70
13950415,13736.20
13950419,13711.20
13950420,13683.60
13950421,13684.20
13950422,13625.10
13950423,13642.40
13950426,13658.70
13950427,13689.80
13950428,13685.10
13950429,13752.00
13950430,13831.80
13950502,13900.80
13950503,13934.10
13950504,13945.40
13950505,13973.60
13950506,14058.90
13950510,14083.00
13950511,14082.50
13950512,14145.40
13950513,14255.50
13950516,14325.80
13950517,14387.30
13950518,14378.50
13950519,14385.70
13950520,14420.50
13950523,14446.10
13950524,14461.40
13950525,14447.20
13950526,14430.10
13950527,14458.80
13950530,14525.10
13950531,14524.10
13950601,14537.60
13950602,14494.00
13950603,14474.70
13950606,14464.50
13950607,14394.40
13950608,14375.30
13950609,14396.90
13950610,14370.40
13950613,14306.70
13950614,14249.40
13950615,14249.30
13950616,14313.50
13950617,14384.70
13950620,14351.30
13950621,14368.40
13950623,14431.40
13950624,14451.60
13950627,14455.60
13950628,14533.30
13950629,14562.40
13950631,14625.00
13950703,14774.10
13950704,14796.70
13950705,14883.20
13950706,14990.40
13950707,15060.00
13950710,15055.60
13950711,15050.20
13950712,15046.80
13950713,15066.20
13950714,15031.10
13950717,15008.50
13950718,15063.20
13950719,15135.10
13950724,15126.70
13950725,15087.40
13950726,15151.00
13950727,15225.60
13950728,15290.80
13950801,15371.20
13950802,15412.60
13950803,15486.50
13950804,15598.50
13950805,15715.00
13950808,15848.50
13950809,15804.70
13950810,15819.50
13950811,15727.20
13950812,15743.00
13950815,15765.50
13950816,15729.40
13950817,15851.20
13950818,15924.20
13950819,15585.90
13950822,15701.10
13950823,15789.70
13950824,15903.20
13950825,15906.00
13950826,15919.80
13950829,15959.00
13950901,15992.10
13950902,16027.50
13950903,16053.50
13950906,16082.50
13950907,16144.80
13950909,16172.50
13950913,16005.60
13950914,16020.80
13950915,16089.90
13950916,16120.00
13950917,16182.40
13950920,16180.80
13950921,16113.90
13950922,16062.60
13950923,16021.20
13950924,15969.50
13950928,15922.10
13950929,15815.70
13950930,15720.20
13951001,15797.00
13951004,15829.50
13951005,15816.10
13951006,15778.20
13951007,15704.60
13951008,15669.60
13951011,15640.30
13951012,15551.80
13951013,15532.70
13951014,15470.10
13951015,15420.20
13951018,15365.20
13951019,15325.30
13951020,15263.10
13951022,15275.90
13951025,15414.80
13951026,15447.50
13951027,15453.90
13951028,15503.80
13951029,15562.70
13951102,15515.70
13951103,15499.40
13951104,15557.00
13951105,15588.90
13951106,15630.70
13951109,15634.30
13951110,15669.10
13951111,15769.70
13951112,15739.60
13951113,15641.20
13951116,15490.90
13951117,15404.00
13951118,15436.40
13951119,15482.80
13951120,15484.80
13951123,15489.90
13951124,15497.40
13951125,15510.50
13951126,15540.70
13951127,15579.80
13951130,15651.30
13951201,15718.80
13951202,15760.00
13951203,15819.70
